category	word	link on verb	link on VP
vbn	savvy	1	0
vb	speak	1	0
vb	cancel	1	0
vbn	broken	1	0
vbp	lose	1	1
vb	rectify	1	0
vbz	reviews	1	1
vbp	map	1	0
vbg	twisting	1	0
vbg	upsetting	1	0
vb	rent	1	1
vbn	confirmed	1	1
vbn	disowned	1	0
vbn	reviewed	1	1
vbd	parade	1	0
vbn	found	1	0
vbd	redacted	1	0
vb	experiment	1	0
vbn	funded	1	0
vbg	cutting	1	2
vb	like	1	0
vbg	landing	1	0
vb	conduct	1	0
vbg	raiding	1	0
vbn	been	1	1
vbg	restoring	1	0
vbz	conducts	1	0
vbz	paperwhites	1	0
vbd	related	1	1
vb	attract	1	0
vbd	defended	1	0
vbg	advertising	1	0
vbp	identify	1	0
vbn	sued	1	0
vb	fight	1	1
vbg	boycotting	1	1
vb	taint	1	0
vbd	called	1	0
vb	fork	1	0
vbg	promoting	1	1
vbp	spook	1	0
vbg	spybox	1	0
vbd	won	1	1
vbd	mapped	1	0
vbn	affected	1	1
vb	rescue	1	0
vbg	imitating	1	0
vbd	quashed	1	0
vbz	addresses	1	0
vb	fix	1	1
vbd	pioneered	1	0
vb	mutilate	1	0
vbd	rescinded	1	0
vbn	forgiven	1	0
vbz	recognizes	1	0
vbg	fried	1	0
vb	touch	1	0
vb	open	1	0
vbg	animated	1	0
vbz	resembles	1	0
vbn	recreated	1	0
vbg	starting	1	0
vbd	overwhelmed	1	0
vbn	studied	1	0
vbn	jolted	1	0
vbd	criticized	1	0
vbg	creating	1	2
vbg	transcending	1	0
vb	modulate	1	0
vbg	tweeting	1	0
vbn	built	1	0
vbd	brandished	1	0
vbg	scratchbuilding	1	0
vbd	combined	1	0
vb	order	1	0
vbp	make	1	9
vbz	visualizes	1	0
vbn	purchased	1	0
vbd	attended	1	0
vbd	graced	1	0
vbg	separating	1	1
vb	swallow	1	0
vb	afford	1	0
vbn	ended	1	0
vbz	investigates	1	1
vb	rip	1	0
vbn	introduced	1	0
vb	blog	1	0
vb	customize	1	1
vbg	killing	1	1
vb	collect	1	0
vbg	documenting	1	0
vbz	describes	1	2
vbd	joined	1	0
vbn	plagued	1	0
vbn	impressed	1	0
vbg	hosting	1	0
vbg	drawing	1	2
vbg	mocking	1	0
nnp	meet	1	2
vbn	fired	1	0
vb	assassinate	1	0
vbn	enraptured	1	0
vbd	demanded	1	0
vbn	performed	1	0
vbd	opened	1	0
vbz	announces	1	0
vb	understand	1	0
vbp	speak	1	0
vb	describe	1	0
vbn	linked	1	0
vb	revive	1	0
vbn	exacerbated	1	0
vb	risusiverse	1	0
vbg	singing	1	1
vb	beleaguer	1	0
vb	symbolize	1	0
vbn	undergone	1	0
vb	crush	0	2
vbn	charted	0	1
vb	enjoy	0	2
vb	register	0	1
vb	sing	0	2
vb	fuck	0	1
vb	buy	0	18
vbg	drinking	0	1
vb	copyright	0	1
vbg	cloning	0	1
vbn	claimed	0	1
vb	protest	0	1
vb	elect	0	1
vb	go	0	6
vbz	chooses	0	1
vbg	prayer	0	1
jj	rid	0	1
vb	marry	0	2
vb	second	0	1
vb	hear	0	4
vb	tell	0	4
vbg	gutting	0	1
vb	clone	0	1
vbd	logged	0	1
vb	bone	0	1
vb	bite	0	1
vb	scan	0	1
vb	whistle	0	1
vbd	printed	0	1
vbp	liberate	0	1
vbg	defending	0	3
vb	wear	0	2
vbn	boycotted	0	1
vb	pick	0	1
vbg	running	0	1
vbn	engulfed	0	1
vbz	receives	0	1
vbd	approved	0	1
vbg	ditching	0	1
vb	lose	0	4
vb	violate	0	2
vbp	hire	0	1
vb	try	0	4
vb	end	0	2
vb	google	0	2
vb	die	0	3
vb	master	0	1
vb	detain	0	1
vb	plug	0	1
vb	invent	0	2
vb	prescribe	0	1
vb	shrink	0	3
vbd	stole	0	2
vbd	went	0	1
vb	research	0	1
vbn	mentioned	0	1
vbn	executed	0	1
vbg	lecturing	0	1
vbp	answer	0	1
vbg	remembering	0	3
vb	convert	0	1
vbg	miscalculating	0	1
vbz	screw	0	1
vbn	ruffled	0	2
vb	diaper	0	1
vbd	discovered	0	1
vbd	invented	0	3
vb	name	0	1
vb	homemade	0	1
vbn	left	0	1
vbn	gone	0	3
vbz	hedge	0	1
vbd	taped	0	1
vb	rethink	0	1
vb	toe	0	1
vb	panhandle	0	1
vbz	perplexes	0	1
vb	promote	0	2
vbn	spoken	0	1
vb	look	0	1
vb	scour	0	1
vbg	combining	0	1
vbg	changing	0	3
vbg	dusting	0	1
vbg	marketing	0	1
vb	id	0	1
vb	cure	0	2
vbn	upheld	0	1
vb	practice	0	1
vbp	voice	0	1
vb	survive	0	2
vbg	reviving	0	2
vbd	assaulted	0	1
vb	tan	0	1
vb	predict	0	3
vb	kick	0	1
vbd	seized	0	1
vb	ban	0	3
vb	purchase	0	1
vbn	labeled	0	1
vb	interview	0	1
vbz	bears	0	1
vbg	filling	0	1
vb	change	0	4
vb	lift	0	1
vbd	cut	0	1
vb	draw	0	4
vb	cost	0	2
vbn	embraced	0	1
vbg	illustrating	0	1
vbg	pulling	0	1
vbn	translated	0	2
vb	airbrush	0	1
vbd	supported	0	1
vbp	create	0	2
vbp	need	0	1
vbp	find	0	2
vbg	hitchhiking	0	1
vb	guess	0	2
vb	hypnotize	0	2
vbz	mulls	0	1
vbg	moving	0	2
vb	watch	0	8
vbg	kicking	0	1
vb	hunt	0	1
vb	uninstall	0	1
vbg	ordering	0	1
vb	blame	0	1
vbg	greatest	0	1
vb	map	0	1
vbg	blogging	0	3
vb	use	0	2
vbz	wins	0	1
vbn	cited	0	1
vbg	capturing	0	1
vbn	caused	0	1
vb	provide	0	1
vb	seek	0	1
vbz	denies	0	2
vb	believe	0	1
vbn	equivocate	0	1
vbg	reading	0	3
vbp	get	0	3
vb	override	0	1
vbn	made	0	3
vbz	trailer	0	1
vb	procrastinate	0	1
vb	clean	0	1
vbp	take	0	4
vbg	tracking	0	1
vbd	deported	0	1
vb	abandon	0	1
vbg	nearing	0	1
vbd	klick	0	1
vbz	tortured	0	1
vb	locate	0	1
vbz	challenges	0	1
vbz	invokes	0	1
vb	annoy	0	1
vbd	caught	0	1
vbg	infiltrating	0	1
vbn	fuck	0	1
vbg	accosting	0	1
vb	press	0	1
vbz	wholesale	0	1
vbz	infects	0	1
vb	beat	0	3
vb	delete	0	1
vb	degrade	0	1
vbg	painting	0	2
vb	put	0	1
vbz	defeats	0	1
vbz	justifies	0	1
vbg	cultivating	0	1
vb	limit	0	2
vbn	attacked	0	1
vbd	kept	0	2
vbp	steal	0	1
vbz	kills	0	3
vbd	extracted	0	1
vbg	threatening	0	2
vbg	going	0	2
vbd	bifurcated	0	1
vbz	bans	0	4
vbp	double	0	1
vbn	hitched	0	1
vbg	retelling	0	1
vbz	bites	0	1
vbp	imitate	0	1
vb	think	0	2
vb	replace	0	3
vb	impermanent	0	1
vbz	defends	0	2
vb	stimulate	0	1
vbz	hated	0	1
vbg	examining	0	1
vb	post	0	1
vbd	smoked	0	1
vb	experience	0	1
vbg	chronicle	0	1
vb	attend	0	1
vb	join	0	5
vbg	preserving	0	1
vb	redevelop	0	1
vbn	launched	0	1
vb	tag	0	1
vbn	constructed	0	1
vbz	answers	0	2
vbp	work	0	1
vb	taste	0	1
vbd	passed	0	1
vbz	sees	0	1
vb	reconstruct	0	1
vbd	popularized	0	1
vb	wash	0	2
vbg	driving	0	2
vbz	clears	0	1
vbp	destroy	0	2
vb	do	0	6
vbg	writing	0	5
vb	pull	0	1
vbg	reclaiming	0	1
vbg	demonstating	0	1
vb	gay	0	1
vb	read	0	9
vb	sign	0	2
vb	cover	0	2
vb	lessen	0	1
vbg	climbing	0	2
vbd	addressed	0	1
vbz	dislikes	0	1
vb	scrutinize	0	1
vbg	having	0	2
vb	identify	0	2
vbg	issuing	0	1
vbp	eat	0	1
vbg	entering	0	1
vbd	made	0	4
vbn	denied	0	2
vb	contact	0	1
vb	defend	0	2
vb	tupperware	0	1
vbg	browse	0	1
vbp	geek	0	1
nn	link	0	1
vbd	defied	0	1
vbz	toss	0	1
vb	recreate	0	1
vb	unfold	0	1
vbg	flooding	0	1
vb	suspend	0	1
vbp	register	0	1
vbd	became	0	1
vbd	saved	0	1
vb	refuse	0	1
vb	vote	0	1
vbz	induces	0	1
vbg	finding	0	2
vbg	browsing	0	1
vbp	travel	0	1
vb	wok	0	1
vbg	crying	0	1
vb	carve	0	1
vbg	sniffing	0	1
vbz	meet	0	1
vbg	mapping	0	1
vbd	pulled	0	1
vbn	upset	0	1
vbg	missing	0	2
vbg	getting	0	2
vb	wikify	0	1
vbz	rudolph	0	1
vbd	understood	0	1
vb	donate	0	2
vbn	formed	0	2
vbg	trading	0	1
vbp	appear	0	1
vb	abolish	0	2
vbd	sink	0	1
vbn	written	0	3
vbg	laying	0	1
vbp	google	0	1
vb	kirkbride	0	1
vbg	printing	0	1
vbg	talking	0	1
vbn	kidnapped	0	1
vb	video	0	1
vbz	thinks	0	1
vb	insurgent	0	1
vbg	waving	0	1
vb	aide	0	1
vbg	hitting	0	1
vb	balance	0	1
vb	swarm	0	1
vbz	shares	0	1
vb	intellectualize	0	1
vbz	needs	0	1
vb	spot	0	1
vb	affect	0	1
vb	stoner	0	1
vbd	looked	0	1
vb	fold	0	1
vb	promise	0	1
vbz	clarified	0	1
vb	support	0	1
vbg	holding	0	1
vb	criminalize	0	1
vbd	affected	0	1
vb	reinvent	0	1
vbz	eats	0	1
vbn	issued	0	2
vbd	need	0	1
vbp	pop	0	1
vbz	cuts	0	2
vbz	nominates	0	1
vb	defeat	0	1
vbg	simulating	0	1
vb	break	0	2
vbp	surround	0	1
vbn	got	0	5
vbn	heard	0	1
vbg	attracting	0	1
vbg	cleaning	0	1
vb	treat	0	1
vbz	questions	0	1
vbd	missed	0	1
vbg	cooling	0	1
vbg	stirring	0	1
vb	blow	0	2
vbp	round	0	1
vbz	joins	0	1
vbz	looting	0	1
