sentence_length	link_length	actual	expected
11	3	2	0.3405572755417956656346749226006191950464
11	4	1	0.1277089783281733746130030959752321981424
11	5	1	0.1100261967135032150512026673017385091688
11	8	1	0.1277089783281733746130030959752321981424
11	11	1	1.0004761904762
12	1	17.000454545455	17.0000000000000000000000000000000000000000
12	2	6	1.7142857142857142857142857142857142857142
12	3	2	0.3308270676691729323308270676691729323308
12	4	2	0.2432551968155683325961963732861565678902
12	6	2	0.1886163372231483686592045725172660157180
12	8	0	0.1021671826625386996904024767801857585139
12	11	1	0.2857142857142857142857142857142857142857
12	12	1	1.0004347826087
13	1	9.0004166666667	9.0000000000000000000000000000000000000000
13	2	4	1.4130434782608695652173913043478260869565
13	3	1	0.1614906832298136645962732919254658385093
13	4	5	0.5843412880026152337365152010460934946060
13	6	1	0.0866200026921523758244716650962444474357
13	9	2	0.1924888948714497240543814779916543276348
13	12	1	0.2826086956521739130434782608695652173913
14	1	8	8.0004
14	2	9	2.5200000000000000000000000000000000000000
14	3	4	0.6330434782608695652173913043478260869564
14	4	2	0.3391304347826086956521739130434782608695
14	7	1	0.0762256023690940907255350652846951137434
14	14	1.0003846153846	1.0000000000000000000000000000000000000000
15	1	11	11.00037037037
15	2	5	1.3888888888888888888888888888888888888885
15	3	1	0.1555555555555555555555555555555555555555
15	4	3	0.3297101449275362318840579710144927536231
15	5	1	0.0879227053140096618357487922705314009661
15	6	0	0.0763539282990083905415713196033562166285
15	15	1.0003571428571	1.0000000000000000000000000000000000000000
16	1	10	10.000344827586
16	2	8	2.2068965517241379310344827586206896551720
16	3	3	0.6130268199233716475095785440613026819920
16	4	2	0.3218390804597701149425287356321839080458
16	5	3	0.3395635515575545560553056804930867899380
16	6	0	0.0727636181909045477261369315342328835582
16	11	1	0.0727636181909045477261369315342328835582
17	1	5.0003333333333	5.0000000000000000000000000000000000000000
17	2	6	1.6451612903225806451612903225806451612898
17	3	3	0.4538375973303670745272525027808676307005
17	4	1	0.1050549993820294153998269682363119515511
17	5	4	0.3294524780620442466938573723890742800640
17	6	1	0.0698296013283680740275023778433363963179
17	7	2	0.1254082636101304186616369234737469974690
17	8	1	0.0589913871587126640414936843971901994673
17	17	1	1.0003225806452
18	1	10.0003125	10.0000000000000000000000000000000000000000
18	2	4	1.0909090909090909090909090909090909090908
18	3	1	0.2991202346041055718475073313782991202346
18	6	1	0.0673880068763272322782890079886742845586
18	7	1	0.1197078879914881269042897905885766794022
18	8	1	0.0555786622817623446341345456304106011510
18	9	1	0.0536285337806478764013578949065365449702
19	1	10	10.000303030303
19	2	7	2.1714285714285714285714285714285714285712
19	3	7	1.0363636363636363636363636363636363636360
